UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2022-ORMAF-022131,154.8917,Class D,2022-10-27T16:00:00Z,2083.35,Type 4 Incident,4,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORFWF-220229,0.11,Class A,2022-08-06T19:00:00Z,94.24555555555555,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022138,0.11,Class A,2022-08-05T19:08:00Z,51.535,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORDEF-000552,0.63,Class B,2022-08-08T21:02:00Z,117.84805555555556,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022142,0,Class A,2022-08-06T18:53:00Z,66.42583333333333,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORJEFN-000565,3.16,Class B,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-002323,3,Class B,2022-08-14T19:25:00Z,125.25944444444444,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022159,0.03,Class A,2022-08-13T17:06:00Z,90.73333333333332,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022164,0.02,Class A,2022-08-10T23:09:00Z,23.940277777777776,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000641,0.04,Class A,2022-08-12T17:10:00Z,67.71666666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000589,0.02,Class A,2022-08-11T21:56:00Z,52.2,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR951S-000704,7.56,Class B,2022-09-13T23:02:00Z,816.2333333333333,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000312,12.28,Class C,NA,NA,Type 2 Incident,2,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000775,10.47,Class C,2022-11-01T19:00:00Z,1770.7833333333333,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000781,0.01,Class A,2022-08-23T17:52:00Z,74.76805555555555,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000770,0.12,Class A,2022-08-23T19:37:00Z,92.39916666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022199,4333.3244,Class F,2022-11-21T17:15:00Z,2190.383333333333,Type 5 Incident,5,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022205,0,Class A,2022-08-25T22:45:00Z,78.7238888888889,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022215,2.84,Class B,2022-08-30T19:07:00Z,158.05666666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000367,60.64,Class C,2022-08-28T21:00:00Z,92.6,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000366,82.28,Class C,2022-09-05T19:33:00Z,283.43333333333334,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000365,65.05,Class C,2022-09-05T19:33:00Z,283.5725,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORREDN-000820,7.8,Class B,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000167,5,Class B,2022-09-30T18:00:00Z,596.7833333333333,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000375,0,Class A,2022-09-05T18:10:00Z,2.1666666666666665,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022270,131.91,Class D,2022-09-22T22:48:00Z,175.94305555555556,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORROD-000380,0,Class A,2022-09-06T00:00:00Z,2139,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022287,13.72,Class C,2022-10-11T19:15:00Z,526.7894444444445,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022289,0.62,Class B,2022-09-22T23:16:00Z,72.43333333333334,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR951S-000932,0.18,Class A,2022-09-30T22:58:00Z,239.03861111111112,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022291,0.69,Class B,2022-09-25T18:34:00Z,93.25194444444443,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000393,0,Class A,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORROD-000400,0,Class A,2022-09-01T18:30:00Z,314.4166666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
