UNQE_FIRE_,Calculated.Acres,Containment.Date.Time,Control.Date.Time,Fire.Mgmt.Complexity,FireOutDateTime,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
1994-ORUMA-000011,0.1,NA,1994-07-25,NA,1994-07-27,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000012,3,NA,1994-08-02,NA,1994-08-04,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000016,0.1,NA,1994-08-13,NA,1994-08-15,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000018,2.5,NA,1994-08-22,NA,1994-09-21,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000022,25,NA,1994-09-03,NA,1994-09-06,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000023,1.5,NA,1994-09-07,NA,1994-09-10,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000024,0.1,NA,1994-09-12,NA,1994-09-13,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000026,0.2,NA,1994-10-02,NA,1994-10-04,WF,0,1994,NA,NA,FALSE,TRUE
1995-ORUMA-000002,2,NA,1995-07-03,NA,1995-07-05,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000003,0.1,NA,1995-07-02,NA,1995-07-03,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000004,0.1,NA,1995-07-10,NA,1995-07-11,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000005,0.2,NA,1995-07-17,NA,1995-07-18,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000008,0.1,NA,1995-07-28,NA,1995-07-30,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000009,5,NA,1995-07-30,NA,1995-07-31,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000010,0.1,NA,1995-07-31,NA,1995-08-01,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000012,0.1,NA,1995-08-02,NA,1995-08-03,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000013,0.1,NA,1995-08-03,NA,1995-08-04,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000014,0.3,NA,1995-08-05,NA,1995-08-06,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000015,4,NA,1995-08-05,NA,1995-08-06,WF,0,1995,NA,NA,FALSE,TRUE
1995-ORUMA-000016,6,NA,1995-08-05,NA,1995-08-06,WF,0,1995,NA,NA,FALSE,TRUE
